displ,fuelType,VClass,engId
3.0,Regular,Midsize Cars,57007
2.3,Regular,Midsize Cars,60050
3.8,Regular,Large Cars,4502
3.8,Regular,Large Cars,4500
5.7,Premium,Large Cars,4106
4.6,Premium,Large Cars,4100
4.9,Premium,Large Cars,4101
4.3,Regular,Large Cars,4107
3.3,Regular,Large Cars,2620
3.5,Regular,Large Cars,2710
4.6,Regular,Large Cars,3388
3.2,Premium,Large Cars,20035
3.5,Diesel,Large Cars,20040
4.2,Premium,Large Cars,20050
5.0,Premium,Large Cars,20060
6.0,Premium,Large Cars,20070
3.8,Premium,Large Cars,4501
6.8,Premium,Large Cars,44002
2.3,Regular,Large Cars,47004
2.3,Regular,Large Cars,47002
2.3,Premium,Large Cars,47005
2.3,Regular,Large Cars,47003
2.3,Regular,Large Cars,47001
2.8,Regular,Small Station Wagons,64010
2.6,Premium,Subcompact Cars,49061
3.0,Premium,Small Station Wagons,12056
3.1,Premium,Small Station Wagons,12058
2.2,Regular,Small Station Wagons,4407
3.1,Regular,Small Station Wagons,4504
1.9,Regular,Small Station Wagons,3100
1.9,Regular,Small Station Wagons,3101
2.2,Regular,Small Station Wagons,26032
2.2,Regular,Small Station Wagons,26034
1.9,Regular,Small Station Wagons,4403
1.9,Regular,Small Station Wagons,4401
1.9,Regular,Small Station Wagons,4400
1.9,Regular,Small Station Wagons,4402
1.8,Regular,Small Station Wagons,57004
2.2,Regular,Midsize-Large Station Wagons,4406
3.1,Regular,Midsize-Large Station Wagons,4423
3.2,Premium,Midsize-Large Station Wagons,20030
2.2,Regular,Midsize-Large Station Wagons,57006
3.0,Regular,Midsize-Large Station Wagons,57007
2.3,Regular,Midsize-Large Station Wagons,60050
2.4,Regular,Midsize-Large Station Wagons,60040
5.7,Premium,Midsize-Large Station Wagons,4106
4.3,Regular,Midsize-Large Station Wagons,4107
2.2,Regular,Small Pickup Trucks,4422
2.0,Regular,Special Purpose Vehicles,29090
2.2,Regular,Small Pickup Trucks,4409
4.3,Premium,Small Pickup Trucks,4801
4.3,Regular,Small Pickup Trucks,4822
4.3,Regular,Small Pickup Trucks,4807
4.3,Premium,Small Pickup Trucks,4800
2.4,Premium,Small Pickup Trucks,38080
3.0,Regular,Small Pickup Trucks,38090
2.1,Diesel,Special Purpose Vehicles,1900
2.3,Regular,Small Pickup Trucks,29081
2.3,Regular,Small Pickup Trucks,49091
4.3,Regular,Standard Pickup Trucks,4810
4.3,Regular,Standard Pickup Trucks,4803
4.3,Regular,Standard Pickup Trucks,4808
5.0,Regular,Standard Pickup Trucks,4816
5.0,Regular,Standard Pickup Trucks,4817
5.7,Regular,Standard Pickup Trucks,4815
5.7,Regular,Standard Pickup Trucks,4819
5.7,Regular,Standard Pickup Trucks,4818
2.6,Premium,Subcompact Cars,49071
2.5,Regular,Special Purpose Vehicles,1810
6.5,Diesel,Standard Pickup Trucks,4827
6.5,Diesel,Standard Pickup Trucks,4829
6.5,Diesel,Standard Pickup Trucks,4824
3.9,Regular,Standard Pickup Trucks,2860
5.2,Regular,Standard Pickup Trucks,2880
5.9,Regular,Standard Pickup Trucks,2890
4.9,Regular,Standard Pickup Trucks,3785
4.9,Regular,Standard Pickup Trucks,3782
5.0,Regular,Standard Pickup Trucks,3823
5.0,Regular,Standard Pickup Trucks,3820
5.8,Regular,Standard Pickup Trucks,3863
4.9,Regular,Standard Pickup Trucks,3784
4.9,Regular,Standard Pickup Trucks,3781
5.0,Regular,Standard Pickup Trucks,3822
5.0,Regular,Standard Pickup Trucks,3821
5.8,Regular,Standard Pickup Trucks,3860
5.8,Regular,Standard Pickup Trucks,3862
2.8,Regular,Special Purpose Vehicles,1820
3.0,Regular,Standard Pickup Trucks,3645
3.0,Regular,Standard Pickup Trucks,3642
4.0,Regular,Standard Pickup Trucks,3722
4.0,Regular,Standard Pickup Trucks,3720
6.5,Diesel,Standard Pickup Trucks,4869
6.5,Diesel,Standard Pickup Trucks,4864
2.3,Regular,Standard Pickup Trucks,56081
3.0,Regular,Standard Pickup Trucks,56082
4.0,Regular,Standard Pickup Trucks,56083
